"filename", "language", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\hooks\useFetchVerses.js", "JavaScript", 0, 89, 0, 8, 33, 130
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\hooks\useWindowSize.js", "JavaScript", 0, 17, 0, 2, 6, 25
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\close-menu.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\close-pane-inverse.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\close-pane.svg", "XML", 0, 0, 3, 0, 0, 3
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\cross.svg", "XML", 0, 0, 4, 0, 1, 5
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\finger.svg", "XML", 0, 0, 11, 0, 1, 12
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\jam_menu.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\magnifying-glass-brown.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\magnifying-glass-green.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\manage-search.svg", "XML", 0, 0, 6, 0, 1, 7
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\next-chapter.svg", "XML", 0, 0, 17, 0, 1, 18
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\previous-chapter.svg", "XML", 0, 0, 17, 0, 1, 18
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\reverse.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\table-of-content.svg", "XML", 0, 0, 8, 0, 1, 9
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\to-bottom.svg", "XML", 0, 0, 11, 0, 1, 12
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\to-top.svg", "XML", 0, 0, 11, 0, 1, 12
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\index.js", "JavaScript", 0, 7, 0, 2, 3, 12
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\BibleReaderPage\index.js", "JavaScript", 0, 22, 0, 2, 8, 32
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\BibleReaderPage\styles.css", "CSS", 17, 0, 0, 1, 6, 24
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\HomeSearchPage\index.js", "JavaScript", 0, 47, 0, 6, 16, 69
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\HomeSearchPage\styles.css", "CSS", 122, 0, 0, 4, 14, 140
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\ResearchPage\index.js", "JavaScript", 0, 21, 0, 2, 7, 30
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\ResearchPage\styles.css", "CSS", 23, 0, 0, 1, 4, 28
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\styles.css", "CSS", 149, 0, 0, 3, 44, 196
"Total", "-", 2553, 2541, 104, 255, 1278, 6731
