"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResultPane\styles.css", "CSS", 0, 102, 0, 3, 23, 128
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResultsUpdate\index.js", "JavaScript", 49, 0, 0, 2, 23, 74
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResultsUpdate\styles.css", "CSS", 0, 27, 0, 0, 6, 33
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\SearchPane\index.js", "JavaScript", 45, 0, 0, 2, 15, 62
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\SearchPane\styles.css", "CSS", 0, 126, 0, 2, 22, 150
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentIcon\index.js", "JavaScript", 23, 0, 0, 2, 6, 31
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentIcon\styles.css", "CSS", 0, 87, 0, 1, 14, 102
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentsSlide\index.js", "JavaScript", 45, 0, 0, 7, 19, 71
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentsSlide\styles.css", "CSS", 0, 83, 0, 3, 13, 99
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentsStatic\globalstyles.css", "CSS", 0, 43, 0, 1, 7, 51
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentsStatic\index.js", "JavaScript", 33, 0, 0, 5, 13, 51
